ano_implantacao;referencia;nome;bairro;local;rpa;quantidade;vagas;latitude;longitude 
2024;P257;Seu Boteco;Recife;Av. Alfredo Lisboa, 333 - Próximo ao Marco Zero, na lateral da Entrada do Seu Boteco.;1;5;10;-8.06378; -34.8711 
2024;P258;Smartlet;Recife;Av. Alfredo Lisboa, 578 - Ao lado do equipamento SMARTLET.;1;5;10;-8.0616; -34.87061 
2024;P259;Forte das Cinco Pontas;São José;Praça das Cinco Pontas, S/N - na calçada, em frente a entrada do Museu;1;5;10;-8.07137; -34.88082 
2024;P260;Rua da Carioca;Santo Antônio;R. da Carioca, 72 - no redesenho, ao lado do estacionamento de motos;1;5;10;-8.06724; -34.87689 
2024;P261;Rua do Forte;Santo Antônio;R. do Forte, S/N - na rua, por trás da parada de ônibus;1;5;10;-8.07129; -34.8799 
2024;P262;Catamaran ;São José;Cais Santa Rita, S/N -  no canteiro, entre as árvores;1;5;10;-8.07286; -34.88025 
2024;P263;Praça do Derby;Boa Vista;Avenida Agamenon Magalhães, perto da Agência do  Bradesco - do lado ponto de coleta de lixo;1;5;10;-8.05642; -34.89826 
2024;P264;Pontilhão da Paissandu;Boa Vista;Avenida Agamenon Magalhães, S/N - Em frente ao Banco Safra;1;5;10;-8.06224; -34.89748 
2024;P265;Praça de Joana Bezerra;Ilha Joana Bezerra;Rua Jaraguari, S/N - por trás da parada de ônibus locada na Praça;1;5;10;-8.07037; -34.89652 
2024;P266;Praça em frente a COMPESA;Cabanga;Avenida Saturino de Brito , s/n - Cabanga;1;5;10;-8.07968; -34.89281 
2024;P267;Empório Ferreira;Santo Antônio ;Rua da Praia, 175, Santo Antônio;1;5;10;-8.06816; -34.87713 
2024;P268;Canteiro Central da Rua Othon Paraíso;Torreão;Rua Othon Paraíso, S/N - Torreão;2;5;10;-8.0405; -34.88336 
2024;P269;Parque de Esculturas;Brasília Teimosa;Avenida Brasília Formosa – Brasília Teimosa;6;5;10;-8.06605; -34.87011 
2024;P270;Restaurante Ôge;Boa Vista;Travessa Correia Neto, 573 – Boa Vista;1;5;10;-8.06078; -34.88098 
2024;P271;Liamba;Graças;Rua Fernando Lopes, S/N - Graças;3;5;10;-8.05245; -34.90302 
2024;P272;Canteiro Central da Rua Othon Paraíso;Torreão;Rua Othon Paraíso, S/N - Torreão;2;5;10;-8.03975; -34.88346 
2024;P273;Praça Márcio Condonga;Santo Amaro;Rua dos Palmares, 208, Santo Amaro;1;5;10;-8.04955; -34.8877 
2024;P274;Praça Dalceu;Campo Grande;Av. Prof. José dos Anjos, nº140 - Campo Grande;2;5;10;-8.02424; -34.88168 
2024;P275;Praça do Lindomar;Campo Grande;Rua União dos Palmares - Campo Grande;2;5;10;-8.02554; -34.87651 
2024;P276;Praça Sargento Pincel ;Campo Grande;Rua União dos Palmares, S/N, Campo Grande ;2;5;10;-8.025; -34.87633 
2024;P277;Praça da rotatória ;Campo Grande;Rua Prudente Morais, S/N, Campo Grande;2;5;10;-8.02842; -34.88762 
2024;P278;Praça Ulisses Leon de Oliveira;Hipódromo ;Rua Me. Rosa Gatorno - Hipódromo;2;5;10;-8.02914; -34.88946 
